iter	Passed	Remaining
446	1125	1392
447	1127	1389
448	1129	1386
449	1131	1382
450	1133	1379
451	1135	1376
452	1136	1372
453	1140	1371
454	1144	1371
455	1146	1367
456	1148	1364
457	1150	1361
458	1153	1359
459	1154	1355
460	1156	1352
461	1158	1349
462	1160	1346
463	1163	1343
464	1165	1340
465	1168	1339
466	1170	1336
467	1172	1332
468	1173	1329
469	1175	1325
470	1177	1322
471	1179	1319
472	1181	1316
473	1183	1313
474	1186	1310
475	1188	1307
476	1189	1304
477	1191	1301
478	1193	1297
479	1195	1294
480	1196	1291
481	1198	1288
482	1200	1285
483	1203	1282
484	1204	1279
485	1207	1276
486	1209	1274
487	1211	1271
488	1214	1268
489	1216	1266
490	1218	1263
491	1220	1260
492	1222	1257
493	1223	1253
494	1225	1250
495	1228	1248
496	1230	1245
497	1232	1242
498	1234	1239
499	1236	1236
500	1238	1233
501	1242	1232
502	1244	1229
503	1247	1227
504	1249	1225
505	1252	1222
506	1254	1219
507	1256	1216
508	1259	1214
509	1261	1212
510	1263	1209
511	1265	1206
512	1267	1203
513	1269	1200
514	1271	1197
515	1273	1194
516	1275	1191
517	1277	1188
518	1279	1185
519	1281	1182
520	1282	1179
521	1285	1177
522	1289	1175
523	1291	1173
524	1295	1171
525	1296	1168
526	1299	1166
527	1301	1163
528	1304	1161
529	1308	1160
530	1309	1156
531	1311	1154
532	1313	1151
533	1318	1150
534	1319	1147
535	1321	1143
536	1323	1141
537	1326	1139
538	1328	1136
539	1332	1135
540	1336	1134
541	1339	1132
542	1341	1129
543	1343	1126
544	1345	1123
545	1348	1121
546	1351	1119
547	1355	1118
548	1357	1115
549	1359	1112
550	1362	1109
551	1364	1107
552	1371	1108
553	1375	1107
554	1377	1104
555	1380	1102
556	1385	1101
557	1387	1098
558	1388	1095
559	1391	1093
560	1393	1090
561	1395	1087
562	1397	1084
563	1399	1081
564	1400	1078
565	1402	1075
566	1404	1072
567	1406	1069
568	1409	1067
569	1413	1066
570	1415	1063
571	1417	1060
572	1419	1057
573	1422	1055
574	1425	1053
575	1427	1050
576	1428	1047
577	1430	1044
578	1433	1042
579	1434	1039
580	1437	1036
581	1439	1034
582	1441	1031
583	1443	1028
584	1445	1025
585	1446	1022
586	1448	1019
587	1451	1016
588	1454	1015
589	1456	1012
590	1458	1009
591	1460	1006
592	1462	1003
593	1464	1000
594	1466	998
595	1468	995
596	1470	992
597	1472	989
598	1473	986
599	1475	983
600	1477	980
601	1479	978
602	1481	975
603	1483	972
604	1485	969
605	1486	966
606	1488	963
607	1490	960
